DATE,CPIAUCSL,CSUSHPISA,DAXRNSA,GDP,HOUST,LXXRNSA,MIXRNSA,MORTGAGE30US,NYXRSA,PERMIT,POPTHM,SFXRNSA,UNRATE
1/1/2000,169.3,100.552,100,10002.179,1636,100,100,8.21,100.33923,1727,281083,100,4
2/1/2000,170,101.339,101.82326,10002.179,1737,100.61896,100.21244,8.325,101.2406567,1692,281299,102.69766,4.1
3/1/2000,171,102.127,102.03669,10002.179,1604,102.1278,100.74446,8.24,102.0606313,1651,281531,106.55867,4
4/1/2000,170.9,102.922,103.20051,10247.72,1626,103.7041,101.82893,8.1525,103.1325035,1597,281763,110.96653,3.8
5/1/2000,171.2,103.678,104.1144,10247.72,1575,104.98908,102.80919,8.515,104.9158686,1543,281996,115.01005,4
6/1/2000,172.2,104.424,104.2777,10247.72,1559,106.35687,103.49209,8.288,106.0646994,1572,282247,118.44729,4
7/1/2000,172.7,105.054,104.66346,10318.165,1463,107.23331,103.67034,8.1475,107.0202911,1542,282504,119.48304,4
8/1/2000,172.7,105.768,105.0381,10318.165,1541,108.18488,104.37173,8.0275,108.0247498,1552,282769,119.95064,4.1
9/1/2000,173.6,106.538,105.73049,10318.165,1507,108.9445,105.2252,7.912,108.8255102,1570,283033,120.93617,3.9
10/1/2000,173.9,107.382,105.69277,10435.744,1549,109.55771,106.24741,7.795,109.7860036,1577,283285,123.0771,3.9
11/1/2000,174.2,108.302,106.194,10435.744,1551,110.11861,107.55623,7.745,110.6366844,1614,283523,125.66195,3.9
12/1/2000,174.6,109.142,106.19962,10435.744,1532,110.12042,108.89294,7.382,111.8395435,1543,283748,128.57666,3.9
1/1/2001,175.6,109.846,106.49335,10470.231,1600,110.8808,110.28227,7.0325,112.9362585,1699,283960,131.16016,4.2
2/1/2001,176,110.501,107.09404,10470.231,1625,111.31561,110.76112,7.05,114.2519526,1656,284166,133.27125,4.2
3/1/2001,176.1,111.109,108.33494,10470.231,1590,112.97801,111.94038,6.952,115.3142241,1659,284380,134.09724,4.3
4/1/2001,176.4,111.652,109.77023,10599,1649,114.12192,113.31531,7.0775,116.3649666,1666,284602,134.38318,4.4
5/1/2001,177.3,112.164,110.45024,10599,1605,115.31479,114.83847,7.145,116.9782085,1665,284834,134.08919,4.3
6/1/2001,177.7,112.797,111.20353,10599,1636,116.46524,115.96813,7.16,118.0750681,1626,285076,132.64323,4.5
7/1/2001,177.4,113.492,111.11606,10598.02,1670,117.3574,117.08194,7.1275,119.2232072,1598,285324,130.9545,4.6
8/1/2001,177.4,114.167,111.38947,10598.02,1567,118.67334,118.29956,6.95,120.5863682,1615,285584,129.14919,4.9
9/1/2001,178.1,114.812,111.22104,10598.02,1562,119.50897,119.66565,6.8175,121.9830036,1565,285842,128.60237,5
10/1/2001,177.6,115.31,111.42604,10660.465,1540,120.15862,121.32231,6.6175,123.0949151,1566,286086,128.01327,5.3
11/1/2001,177.5,115.857,111.36899,10660.465,1602,120.48479,122.89449,6.658,124.4044392,1651,286315,126.98901,5.5
